Rainfall (mm),River Level (m),Soil Moisture (%),Humidity (%),Temperature (°C),Wind Speed (km/h),Flood
166.6,2.33,68.3,72.1,18.1,14.3,0
110.0,0.0,41.5,56.8,28.5,21.1,0
63.5,1.32,59.4,52.2,28.1,12.2,0
99.7,1.79,40.6,73.8,26.4,19.2,0
138.0,4.78,53.2,59.5,25.9,16.3,0
6.1,1.51,60.4,71.2,26.9,14.0,0
40.0,1.72,22.4,48.8,21.4,18.3,0
28.2,0.0,65.3,86.7,21.5,11.1,0
13.0,2.61,58.5,62.1,19.3,13.6,0
182.6,2.51,35.1,40.3,22.5,12.4,0
76.4,0.86,10.1,77.0,21.3,13.8,0
97.3,3.87,54.1,87.4,21.5,10.1,0
29.3,3.77,64.0,66.1,25.3,18.9,0
39.3,1.66,43.4,73.8,20.3,20.3,0
49.8,0.0,43.5,56.1,34.2,15.6,0
67.1,0.89,61.2,38.4,19.5,7.1,0
87.0,4.8,37.2,71.6,24.9,23.3,0
83.1,2.71,63.7,65.2,29.4,13.8,0
41.5,1.35,44.5,76.7,26.6,15.5,0
141.7,4.55,54.6,54.2,23.4,14.0,0
122.9,2.22,56.7,60.3,26.4,18.0,0
62.2,2.52,81.2,63.7,30.8,9.5,0
51.3,6.09,55.5,70.9,25.3,16.3,0
39.0,3.88,31.9,48.7,25.2,12.9,0
67.4,2.07,39.4,73.2,35.2,9.8,0
118.5,3.05,39.3,58.7,36.8,19.6,0
52.2,3.33,60.3,46.0,25.5,14.7,0
31.4,3.73,48.8,55.8,29.5,19.8,0
51.3,0.95,49.8,56.7,27.1,7.5,0
63.0,4.94,73.8,71.8,27.0,18.3,0
17.8,4.64,67.6,66.1,27.5,12.1,0
13.6,1.11,44.3,85.3,28.6,15.1,0
32.1,2.48,84.5,55.6,19.4,12.6,0
141.5,2.61,95.1,71.2,23.1,13.1,0
114.0,2.74,33.1,56.0,21.7,19.5,0
10.5,3.66,39.3,56.3,23.7,12.3,0
21.9,2.0,28.4,58.9,26.9,26.4,0
85.9,3.15,78.2,55.6,27.6,23.0,0
35.6,3.45,32.9,72.4,21.3,23.5,0
70.1,3.24,40.0,75.1,21.8,12.8,0
11.2,3.21,97.9,50.2,22.5,16.2,0
50.5,3.33,69.1,43.6,17.4,17.1,0
46.5,2.82,44.7,76.5,20.7,11.2,0
97.6,0.0,49.4,73.3,24.9,14.0,0
67.1,0.98,14.6,88.7,23.9,14.0,0
55.7,0.56,48.7,57.5,21.9,18.9,0
8.5,0.89,54.6,67.3,32.3,12.4,0
170.2,1.02,28.5,65.3,30.2,18.5,0
81.6,4.05,54.5,81.5,26.2,16.7,0
27.2,4.5,91.0,78.2,35.0,13.9,0
54.7,3.46,79.4,62.9,9.9,7.6,0
36.5,1.01,81.6,67.0,19.3,12.0,0
42.4,1.12,44.1,62.8,14.7,5.5,0
112.8,1.53,42.2,30.5,27.6,14.3,0
21.8,1.4,61.7,59.0,25.2,14.9,0
84.0,4.48,39.3,50.0,29.7,9.4,0
116.0,0.46,64.2,48.4,19.0,13.1,0
74.9,2.97,69.5,77.3,28.1,13.7,0
44.2,0.59,93.8,48.1,26.2,18.5,0
25.5,3.24,23.7,64.1,24.3,18.6,0
28.8,1.93,71.1,60.6,24.2,15.9,0
55.5,0.82,40.4,52.2,22.8,17.8,0
52.1,1.66,80.4,68.0,14.5,17.4,0
91.6,3.25,57.4,91.4,24.7,6.1,0
12.1,0.06,53.0,45.7,28.0,10.7,0
111.8,1.56,69.2,90.5,38.0,13.8,0
245.6,2.22,69.7,57.8,32.2,17.6,0
47.6,0.44,42.7,100.0,23.0,10.9,0
42.0,1.07,52.2,60.2,29.3,15.3,0
45.2,4.68,38.2,64.0,31.7,15.9,0
54.1,0.52,53.1,27.1,32.2,20.2,0
39.3,1.7,68.9,86.3,24.8,18.0,0
6.3,3.23,81.0,58.6,23.1,18.4,0
44.4,2.39,13.5,54.7,27.3,19.8,0
56.6,1.64,73.1,79.6,21.7,15.3,0
120.1,3.68,65.3,100.0,24.3,21.8,0
21.5,0.0,26.6,78.8,24.5,17.1,0
153.3,3.55,18.4,45.0,22.2,12.0,0
37.1,1.08,50.4,57.8,30.2,15.8,0
24.0,0.0,48.6,35.5,22.1,14.5,0
81.6,5.73,51.2,76.4,29.4,25.9,0
33.7,2.56,80.7,61.7,21.4,8.8,0
48.3,3.65,19.8,62.2,27.5,7.1,0
50.9,4.11,27.7,74.5,15.8,16.6,0
78.3,1.11,22.7,77.4,23.9,10.9,0
47.2,2.11,73.4,51.7,26.1,7.9,0
43.2,2.45,64.1,61.9,31.5,21.0,0
36.4,1.45,53.3,35.3,20.6,13.4,0
72.8,4.28,39.8,69.5,23.5,15.6,0
32.2,4.5,46.0,65.4,27.0,16.0,0
122.8,2.31,42.4,44.8,30.5,16.6,0
51.3,3.25,62.5,38.8,25.4,19.2,0
9.1,3.78,88.4,68.0,23.2,16.8,0
63.0,2.92,28.1,57.1,22.6,10.9,0
70.8,1.64,41.5,71.7,18.2,18.0,0
123.8,0.0,45.4,46.8,20.2,8.4,0
26.5,2.64,0.0,75.6,32.3,12.1,0
23.2,3.69,67.6,66.2,20.2,17.8,0
80.2,1.08,51.6,55.8,28.1,15.8,0
110.2,2.76,57.9,64.9,18.0,12.7,0
25.6,3.17,38.2,56.7,17.7,11.3,0
61.3,3.18,58.0,48.1,27.7,15.4,0
47.8,2.69,47.2,46.6,24.2,10.6,0
26.4,1.0,51.4,96.0,23.7,25.8,0
45.6,4.31,72.0,95.1,18.7,18.5,0
104.9,2.43,57.4,54.5,28.9,16.3,0
51.5,1.69,20.1,62.2,24.5,18.6,0
43.8,0.04,48.2,91.9,27.5,17.9,0
77.2,3.11,74.0,66.8,23.7,17.8,0
111.5,6.18,46.0,86.4,28.5,12.6,0
21.2,2.15,65.2,97.8,28.5,12.4,0
63.2,1.77,80.8,68.3,31.0,11.0,0
37.3,2.48,67.6,71.5,21.3,18.6,0
51.7,2.39,60.2,84.7,24.2,16.2,0
81.6,1.95,54.4,61.8,21.7,9.4,0
39.8,5.61,45.5,88.1,25.9,18.1,0
46.9,2.57,48.0,67.2,24.6,15.1,0
99.1,0.55,77.8,100.0,27.7,4.5,0
69.5,0.73,63.5,65.6,20.3,17.6,0
46.1,4.21,47.0,77.9,21.6,10.8,0
55.6,2.93,44.4,62.7,26.0,16.0,0
52.6,1.97,51.7,45.9,22.9,23.3,0
8.3,1.85,56.6,82.8,24.9,7.5,0
56.3,3.55,42.9,84.8,26.2,18.1,0
15.2,1.32,26.8,35.0,24.3,10.8,0
109.4,2.28,60.7,46.7,34.4,12.3,0
14.8,3.59,41.9,71.1,16.4,4.1,0
35.8,1.39,37.8,61.7,19.0,17.4,0
30.4,4.41,41.3,77.9,26.3,11.0,0
137.7,0.04,36.9,33.9,27.0,15.4,0
106.3,2.56,64.8,95.4,19.0,18.3,0
3.5,2.61,69.0,56.9,22.2,22.8,0
49.5,0.0,64.5,65.8,25.9,22.2,0
17.9,1.39,54.6,69.5,29.8,8.9,0
56.5,3.39,24.7,90.4,26.2,16.2,0
80.3,1.42,60.3,42.8,23.3,27.7,0
60.1,2.1,89.6,67.3,20.2,17.1,0
83.8,1.89,46.3,46.1,16.6,16.7,0
40.7,3.96,18.0,80.5,12.8,17.4,0
61.5,3.01,64.6,59.7,20.8,14.5,0
81.7,1.82,14.5,72.0,10.8,21.1,0
34.7,1.42,31.0,59.2,24.4,13.9,0
23.7,3.8,45.0,97.0,30.5,19.4,0
29.0,2.72,72.2,53.9,29.3,8.8,0
45.6,4.01,53.3,73.9,20.6,5.3,0
50.6,3.43,38.1,31.7,19.6,13.9,0
64.2,0.0,38.4,74.0,31.8,9.2,0
26.5,4.11,28.3,41.7,23.8,6.0,0
83.3,2.69,39.4,92.4,24.0,23.1,0
158.8,2.87,45.7,54.9,22.7,18.2,0
30.6,0.0,51.3,50.1,24.9,15.4,0
217.8,1.77,62.4,69.4,21.1,14.0,0
172.9,2.59,53.9,44.9,24.8,19.8,0
50.5,0.58,26.3,52.4,22.3,20.8,0
44.5,4.49,9.5,68.7,20.3,9.9,0
28.6,3.62,37.4,56.4,24.0,12.9,0
92.1,1.9,90.8,79.1,32.2,13.7,0
53.1,5.22,43.4,83.8,20.3,19.1,0
57.4,3.05,53.5,74.4,19.1,13.5,0
24.1,4.56,21.9,45.4,17.9,16.5,0
93.9,1.28,38.8,53.3,22.9,14.2,0
41.8,3.22,62.6,49.0,30.6,19.4,0
19.3,4.51,60.6,60.9,23.2,18.6,0
47.4,4.28,50.4,71.6,39.6,12.5,0
25.6,4.01,58.1,71.0,21.6,10.9,0
123.9,4.37,76.0,92.9,21.4,10.2,1
171.4,4.79,53.4,92.9,11.3,23.1,0
48.5,0.0,83.1,73.1,24.9,27.9,0
104.3,1.86,57.6,75.1,30.7,20.6,0
102.5,0.0,37.2,46.3,23.4,6.5,0
0.7,0.0,34.3,79.9,26.1,11.5,0
29.0,1.72,43.2,72.9,25.8,10.9,0
54.9,1.86,47.7,71.9,18.4,13.5,0
35.5,4.54,69.5,68.1,29.5,4.2,0
27.1,0.71,75.5,88.8,11.4,9.5,0
107.2,2.77,45.5,93.8,30.5,23.2,0
34.3,4.9,59.7,67.2,24.6,18.0,0
64.3,2.27,54.5,74.0,24.8,15.3,0
100.9,5.43,46.6,56.2,20.1,12.9,0
128.8,0.0,58.0,69.4,24.9,13.0,0
19.4,1.23,61.8,75.3,25.9,17.6,0
21.0,4.81,91.8,39.8,19.8,15.5,0
59.2,1.48,84.1,50.5,20.7,10.8,0
6.2,2.14,76.1,74.6,19.9,19.3,0
22.0,5.01,45.4,68.8,33.7,11.7,0
115.3,3.5,28.3,68.2,20.0,20.4,0
78.9,0.03,59.2,66.9,30.7,9.0,0
45.6,3.43,14.4,82.5,28.4,10.5,0
70.7,1.44,48.1,79.4,32.2,19.7,0
82.7,1.76,59.8,58.3,26.0,11.7,0
13.4,2.36,29.2,84.8,27.3,21.5,0
33.8,1.63,56.0,65.1,19.4,18.0,0
125.9,3.23,66.9,40.5,26.8,20.9,0
60.0,1.19,48.5,72.3,32.2,14.3,0
62.6,2.96,51.6,43.6,21.5,9.6,0
48.6,3.64,64.9,74.7,27.2,10.1,0
8.4,2.4,84.5,55.1,30.8,20.1,0
30.2,2.6,54.7,31.1,24.1,12.3,0
67.7,2.64,63.7,68.8,28.3,15.5,0
34.5,2.69,44.2,88.8,23.5,9.6,0
20.0,2.35,63.9,57.2,23.2,18.2,0
22.6,2.27,64.5,71.2,19.9,7.1,0
127.6,2.32,60.0,68.8,32.6,21.4,0
32.9,2.78,84.6,32.4,26.8,8.5,0
111.0,1.85,44.8,68.4,21.4,9.9,0
62.8,2.28,50.8,73.7,25.9,14.4,0
41.6,3.99,78.7,58.4,25.9,26.2,0
26.0,5.51,44.2,59.8,21.6,12.8,0
80.4,6.19,66.4,60.0,27.5,12.8,0
101.9,2.7,87.1,74.2,26.2,13.4,0
85.8,0.95,66.3,44.4,24.9,23.3,0
14.9,2.13,59.1,40.7,28.0,24.1,0
32.9,2.72,47.0,75.4,31.1,19.1,0
36.3,4.12,73.5,51.7,28.1,19.2,0
6.5,1.42,30.1,79.2,25.6,12.3,0
70.2,2.31,21.4,67.7,17.5,10.3,0
77.5,0.98,32.3,55.2,25.5,21.4,0
75.6,5.0,50.9,47.8,17.1,18.6,0
67.0,3.31,27.0,15.0,30.5,15.4,0
38.8,1.97,94.8,55.4,28.6,14.1,0
25.1,2.6,33.9,65.8,23.3,14.6,0
38.7,0.48,68.4,68.9,29.2,17.9,0
63.2,3.18,36.2,40.8,19.9,23.6,0
118.0,3.08,49.9,54.9,19.6,14.7,0
53.1,0.0,51.9,85.3,26.3,6.5,0
51.7,1.41,28.7,98.6,21.7,18.6,0
7.3,2.05,50.4,75.4,24.1,20.6,0
66.3,2.07,78.9,65.2,32.8,26.4,0
123.7,1.74,47.1,41.6,31.9,16.9,0
45.9,2.69,55.1,65.4,22.9,12.1,0
43.2,4.59,56.8,56.5,21.7,11.8,0
36.8,3.22,57.9,89.2,12.8,15.8,0
82.3,4.27,15.0,59.3,38.7,10.0,0
6.9,3.05,65.8,78.6,10.3,16.0,0
111.0,2.02,61.3,60.5,25.3,20.4,0
41.7,2.23,51.4,83.4,20.3,24.8,0
67.1,3.7,77.5,63.8,29.1,15.6,0
86.8,3.31,72.2,71.7,23.8,7.0,0
22.4,4.5,58.3,64.3,25.1,15.7,0
49.2,2.51,40.9,75.0,23.4,7.6,0
41.0,0.41,45.8,50.5,23.5,18.0,0
17.7,2.21,48.2,80.5,26.8,21.7,0
101.4,0.26,62.3,35.9,23.2,20.2,0
38.4,2.3,49.9,73.2,26.9,9.7,0
17.0,0.74,55.3,48.5,28.1,8.8,0
51.6,2.36,26.5,75.7,19.7,11.4,0
12.7,2.72,67.0,85.0,32.9,14.8,0
34.5,2.32,74.6,43.8,24.2,4.0,0
62.3,2.09,42.8,48.7,24.7,15.5,0
11.3,1.92,41.3,50.5,17.0,11.3,0
78.6,4.2,37.3,87.2,24.7,12.3,0
53.6,2.92,88.1,43.2,20.2,9.8,0
87.2,0.22,66.4,53.9,29.4,5.0,0
86.5,2.7,49.4,36.7,25.0,17.1,0
33.5,4.78,38.0,71.9,20.9,22.6,0
34.3,1.81,29.6,71.6,25.7,11.3,0
70.8,1.92,66.1,32.2,27.9,15.2,0
19.2,3.45,44.8,86.6,13.4,16.7,0
19.4,1.22,59.2,73.0,25.2,14.8,0
29.7,0.73,77.9,49.0,16.2,21.1,0
13.9,0.15,29.8,39.6,26.4,17.9,0
16.8,3.52,37.4,92.7,29.7,25.7,0
17.3,3.8,60.5,72.4,26.8,16.0,0
38.5,1.62,45.9,66.9,25.2,17.5,0
37.1,0.77,46.8,83.3,29.6,14.5,0
96.4,3.81,66.7,68.9,23.7,19.8,0
39.1,2.31,65.0,50.7,31.1,17.1,0
46.4,0.0,43.2,30.9,28.2,14.7,0
151.4,3.06,39.2,89.5,29.6,15.7,0
3.7,2.94,48.7,83.8,17.2,21.1,0
58.0,4.58,72.6,62.6,26.9,7.1,0
41.8,3.76,17.5,67.1,30.2,9.8,0
62.3,3.84,47.9,79.7,25.6,14.6,0
31.3,1.18,62.7,58.9,35.2,20.1,0
38.9,0.47,37.8,54.5,26.8,10.1,0
114.3,3.27,22.5,57.6,22.3,14.6,0
70.1,2.53,28.6,67.9,24.8,11.7,0
40.4,3.47,57.0,82.0,34.7,26.9,0
25.6,2.69,48.3,48.2,33.4,16.7,0
19.2,4.67,12.2,59.1,20.1,13.2,0
33.0,1.85,40.2,29.8,20.6,18.1,0
43.4,2.56,75.5,97.0,32.6,15.7,0
151.0,1.55,48.8,63.5,24.7,26.6,0
54.9,1.19,61.6,86.1,26.2,15.6,0
28.4,4.49,48.2,46.9,25.5,17.0,0
3.7,2.33,66.3,85.3,27.5,4.3,0
25.0,6.2,61.8,82.3,28.1,11.4,0
33.1,0.48,50.4,46.6,22.2,13.6,0
58.9,2.65,32.3,63.1,28.8,13.8,0
34.1,2.74,58.8,47.2,27.7,11.9,0
155.7,4.37,22.4,70.2,38.6,17.6,0
41.0,1.18,59.9,89.3,29.4,11.4,0
98.7,1.61,67.6,73.5,32.1,11.5,0
10.3,0.38,40.1,67.1,24.1,14.7,0
47.2,4.7,26.9,85.1,31.3,18.3,0
25.2,0.0,69.8,62.3,32.6,9.4,0
100.6,2.68,50.2,82.7,26.1,17.6,0
35.9,6.25,46.6,42.1,29.4,17.3,0
116.5,4.21,53.7,74.5,24.5,17.4,0
77.9,4.35,40.7,72.8,16.1,10.7,0
32.2,5.07,18.9,54.1,29.1,12.7,0
18.8,2.76,38.8,52.7,27.6,14.5,0
26.6,2.75,50.4,44.4,31.8,15.6,0
38.9,2.5,50.5,54.9,25.7,14.4,0
77.5,2.38,14.8,85.6,26.5,16.5,0
48.5,1.58,44.7,67.7,25.8,15.4,0
87.5,4.57,83.0,60.5,13.0,8.9,1
122.6,1.71,50.9,48.3,25.0,15.8,0
50.5,2.08,67.5,79.1,29.4,12.0,0
20.8,0.51,61.6,80.7,25.6,20.3,0
64.5,3.75,37.1,76.0,26.5,12.4,0
167.1,4.89,37.7,47.1,30.4,8.5,0
91.0,0.0,58.0,66.4,25.8,11.6,0
61.0,4.82,39.1,70.3,26.5,19.0,0
23.4,3.61,73.0,67.7,18.3,24.5,0
42.2,4.41,43.9,34.3,21.8,16.8,0
11.0,3.06,66.6,71.1,31.5,19.9,0
17.8,3.4,57.7,34.0,28.3,8.1,0
65.4,3.0,59.6,91.9,30.4,15.3,0
8.6,1.0,37.8,47.5,32.8,18.1,0
37.4,2.32,71.6,87.4,26.0,17.3,0
16.0,1.77,96.7,62.2,21.0,9.5,0
18.6,4.13,31.3,64.5,22.3,12.0,0
51.2,2.1,68.8,66.6,23.2,8.6,0
26.6,3.23,50.1,63.3,25.8,14.9,0
13.0,0.87,33.9,32.1,21.0,10.3,0
31.2,5.26,28.8,59.9,20.8,18.0,0
12.6,2.89,32.8,57.7,33.2,5.4,0
111.6,0.47,35.4,38.5,29.0,16.2,0
80.6,4.02,26.8,53.4,32.9,3.7,0
80.3,2.88,72.0,64.3,20.7,20.9,0
24.4,3.69,49.8,47.6,28.9,12.5,0
67.0,7.22,58.3,62.9,33.9,14.2,0
56.9,4.22,27.0,63.0,24.1,13.6,0
26.1,4.14,74.0,61.0,22.3,28.7,0
46.2,1.97,39.4,54.1,28.1,13.3,0
10.5,2.66,75.9,62.5,28.4,17.7,0
19.3,1.97,59.0,62.6,25.5,18.5,0
45.2,0.53,30.9,43.5,27.4,11.1,0
32.8,1.86,57.3,66.8,34.9,22.4,0
62.8,4.2,49.4,82.8,27.8,4.5,0
26.7,3.07,30.6,52.1,33.9,13.1,0
36.8,0.75,28.6,72.9,21.4,14.3,0
48.1,2.34,66.4,50.2,16.9,13.5,0
24.8,1.32,74.2,64.0,26.6,12.0,0
36.3,3.2,29.1,53.1,30.9,9.8,0
56.6,1.47,52.2,44.6,20.2,16.2,0
133.1,1.67,20.5,60.0,24.1,12.7,0
24.9,0.57,66.8,67.1,33.2,14.9,0
32.9,5.0,51.6,66.4,31.8,18.7,0
90.4,2.42,23.4,52.0,24.1,6.5,0
106.0,2.33,41.0,52.5,27.6,16.4,0
71.6,3.0,39.1,74.1,30.1,14.7,0
104.1,3.11,32.8,50.2,27.6,13.2,0
23.7,1.47,69.0,67.7,33.5,15.7,0
97.5,2.85,33.2,45.8,22.5,14.4,0
82.5,2.64,83.6,54.9,27.9,18.4,0
18.4,4.03,67.3,29.4,29.7,19.2,0
37.3,3.63,43.4,67.5,19.0,16.3,0
5.1,2.49,95.7,59.6,20.5,11.4,0
53.5,2.54,42.7,55.5,25.8,14.3,0
96.3,2.18,22.3,81.6,31.3,5.2,0
31.5,2.66,69.9,51.4,27.9,17.9,0
20.5,2.45,32.8,76.3,23.0,16.0,0
19.2,2.74,75.0,68.0,24.9,15.7,0
47.6,0.3,22.3,86.2,31.8,12.4,0
71.1,1.54,33.0,88.1,28.0,23.3,0
135.0,4.66,39.3,54.2,27.2,23.1,0
4.5,1.51,61.4,74.8,25.5,19.8,0
124.2,2.29,40.4,99.6,24.8,10.2,0
55.7,2.82,39.2,72.2,23.4,12.7,0
93.2,2.24,63.2,59.0,30.9,19.1,0
79.2,1.65,73.5,40.2,23.2,14.2,0
49.8,3.88,44.1,34.0,32.0,21.1,0
48.4,0.94,30.1,41.0,20.6,7.5,0
64.1,0.0,79.1,100.0,22.9,5.7,0
39.6,4.43,47.1,64.3,40.6,23.1,0
42.1,0.57,58.4,67.6,31.1,22.6,0
73.6,3.59,40.6,55.0,19.5,12.4,0
24.8,1.92,42.3,72.1,30.1,20.8,0
99.2,4.75,40.6,62.7,30.8,19.2,0
93.7,2.13,66.7,47.0,29.0,17.0,0
33.0,1.69,73.8,36.9,24.5,19.8,0
74.1,3.83,39.7,32.0,21.6,10.2,0
67.6,4.36,42.2,56.4,31.1,10.8,0
30.3,4.93,74.6,57.7,25.1,14.3,0
78.0,0.0,88.0,73.0,19.1,19.0,0
130.2,0.0,61.4,85.8,23.1,17.4,0
101.5,0.87,57.0,49.7,17.9,14.2,0
12.9,0.82,88.5,56.0,20.9,13.4,0
69.3,1.76,55.0,92.1,30.0,16.4,0
90.7,2.58,55.0,85.6,25.1,18.9,0
28.6,2.79,40.7,36.5,31.6,20.7,0
99.3,3.33,64.0,88.9,21.0,7.2,0
25.9,1.45,37.6,52.1,18.8,10.4,0
39.3,2.36,41.6,58.3,28.1,12.7,0
26.8,2.41,44.6,73.4,19.8,20.9,0
23.1,2.53,61.6,55.6,21.8,14.2,0
64.0,1.74,44.2,53.4,22.4,4.5,0
14.1,2.82,67.9,54.4,26.8,16.6,0
41.0,0.94,30.8,81.7,18.9,11.2,0
64.0,5.08,43.3,53.2,26.5,11.7,0
27.1,1.18,52.4,58.8,31.7,7.5,0
110.9,3.09,53.8,63.9,23.7,13.5,0
43.6,2.01,64.9,38.0,22.7,11.0,0
144.0,1.76,32.1,66.6,27.9,6.8,0
12.5,0.23,51.2,80.2,25.6,20.6,0
65.9,1.69,30.8,63.3,25.7,14.9,0
56.7,2.14,62.9,56.4,30.1,15.8,0
35.9,1.63,41.0,48.8,27.4,7.0,0
50.1,3.51,66.5,56.9,23.9,12.2,0
73.0,5.01,50.4,60.4,22.5,17.4,0
82.8,2.39,52.5,43.6,29.7,4.2,0
44.8,3.27,100.0,47.8,21.4,16.5,0
66.5,4.36,70.2,52.2,27.3,17.5,0
24.7,0.9,63.8,43.9,26.5,16.9,0
83.9,5.16,50.3,65.6,23.9,16.5,0
125.6,0.52,43.1,72.4,15.8,13.2,0
88.4,2.5,40.6,55.6,31.8,10.4,0
26.9,3.51,77.9,57.7,14.6,5.1,0
21.4,4.82,38.1,75.7,13.4,22.1,0
204.2,2.48,61.5,61.8,28.4,16.0,0
120.1,2.66,39.0,76.2,28.8,8.2,0
83.0,4.95,33.0,40.8,20.8,14.5,0
131.1,0.24,42.2,65.1,32.5,12.6,0
48.8,0.99,64.6,77.9,19.6,17.8,0
82.0,0.66,71.7,100.0,29.6,13.7,0
110.2,0.87,55.0,85.4,29.7,9.8,0
39.6,1.11,48.0,55.9,27.7,21.1,0
69.2,4.35,61.9,40.5,32.2,16.4,0
102.1,4.78,47.2,60.3,21.1,22.8,0
20.0,3.07,43.0,81.4,22.7,12.3,0
